collected_at_kst,source,brand,query,rank,title,url,price,rating,review_count
2026-06-07T12:48:46+09:00,danawa,Bodyfriend,바디프랜드 팔콘,5,Shanghai Rongtai Health TShanghai Rongtai Health Technology Corporation Limited 바디 프랜드 선착순 L.포 뉴 팔콘 S 천연가죽 헬스케어로봇 안마의자 무상AS 5년,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223894&cate_c4=224143&cmpny_c=TJ418&link_prod_c=0064191770&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808041531869&cate=17326921,4000000,,
2026-06-07T12:50:48+09:00,danawa,Zespa,제스파 종아리 마사지기,1,제스파 더툴 450 에어진 무선 종아리 마사지기 ZP5677 ZP-5678 Sky blue,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223897&cate_c4=224149&cmpny_c=TP40F&link_prod_c=I24909601456&keyword=%EC%A0%9C%EC%8A%A4%ED%8C%8C+%EC%A2%85%EC%95%84%EB%A6%AC+%EB%A7%88%EC%82%AC%EC%A7%80%EA%B8%B0&r=17808042589639&cate=17236106,304300,,
2026-06-07T12:50:48+09:00,danawa,Zespa,제스파 종아리 마사지기,2,제스파 더툴 450 에어진 무선 종아리 마사지기 ZP5677 Zp-5678 S.Blue,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223897&cate_c4=224149&cmpny_c=TP40F&link_prod_c=I24909601436&keyword=%EC%A0%9C%EC%8A%A4%ED%8C%8C+%EC%A2%85%EC%95%84%EB%A6%AC+%EB%A7%88%EC%82%AC%EC%A7%80%EA%B8%B0&r=17808042585290&cate=17236106,304300,,
2026-06-07T12:50:48+09:00,danawa,Zespa,제스파 종아리 마사지기,3,제스파 더툴 450 에어진 무선 종아리 마사지기 ZP5677 zp5678 Sky Blue,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223897&cate_c4=224149&cmpny_c=TP40F&link_prod_c=I24909601452&keyword=%EC%A0%9C%EC%8A%A4%ED%8C%8C+%EC%A2%85%EC%95%84%EB%A6%AC+%EB%A7%88%EC%82%AC%EC%A7%80%EA%B8%B0&r=17808042587255&cate=17236106,304300,,
2026-06-07T12:50:48+09:00,danawa,Zespa,제스파 종아리 마사지기,4,제스파 더툴 450 에어진 무선 종아리 마사지기 ZP5677 Zp5678 Sky Blue,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223897&cate_c4=224149&cmpny_c=TP40F&link_prod_c=I24909601438&keyword=%EC%A0%9C%EC%8A%A4%ED%8C%8C+%EC%A2%85%EC%95%84%EB%A6%AC+%EB%A7%88%EC%82%AC%EC%A7%80%EA%B8%B0&r=17808042587245&cate=17236106,304300,,
2026-06-07T12:50:48+09:00,danawa,Zespa,Zespa massager,1,제스파 흡착 괄사 온열 마사지기 warm white massager/zp5844,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=0&cate_c4=0&cmpny_c=TP40F&link_prod_c=I28278757445&keyword=Zespa+massager&r=17808042607536,122400,,
2026-06-07T12:50:48+09:00,danawa,Zespa,Zespa massager,2,제스파 흡착 괄사 온열 마사지기 warm white Zp5844/massager,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=0&cate_c4=0&cmpny_c=TP40F&link_prod_c=I28278757387&keyword=Zespa+massager&r=17808042607237,122400,,
2026-06-07T12:50:48+09:00,danawa,Zespa,Zespa massager,3,제스파 흡착 괄사 온열 마사지기 dusty white Zp5844/massager,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=0&cate_c4=0&cmpny_c=TP40F&link_prod_c=I28278757442&keyword=Zespa+massager&r=17808042602094,122400,,
2026-06-07T12:50:48+09:00,danawa,Zespa,Zespa massager,4,제스파 제스파 슈페리어 더블에어 마사져,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=72&cate_c2=10954&cate_c3=10958&cate_c4=0&cmpny_c=TNB05&link_prod_c=982637&keyword=Zespa+massager&r=17808042604537&cate=10348666,259000,,
2026-06-07T12:50:48+09:00,danawa,Zespa,Zespa massager,5,제스파 무선 종아리 온열 마사지기 Zp5443/massager 다크넬리,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223897&cate_c4=224149&cmpny_c=TP40F&link_prod_c=V94550986181&keyword=Zespa+massager&r=17808042603300&cate=17236106,65900,,
2026-06-07T12:50:48+09:00,danawa,Bodyfriend,바디프랜드 팔콘,1,"ShenzhenKinWujieTechnologyCo.,LTD 바디 프랜드 팔콘 N 태블릿 PC5%쿠폰+구매 후 3천원 적립",https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=22591&cate_c2=223540&cate_c3=223639&cate_c4=0&cmpny_c=ED904&link_prod_c=35969488&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808042697060&cate=19238830,350000,,
2026-06-07T12:50:48+09:00,danawa,Bodyfriend,바디프랜드 팔콘,2,바디 프랜드 [중고] 바디 프랜드 바디 프랜드 공식인증리퍼 팔콘 S(천연가죽) 안마의자 헬스케어로봇 무상AS 1년,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223894&cate_c4=0&cmpny_c=EE128&link_prod_c=3873896216&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808042699080&cate=17225872,2303000,,
2026-06-07T12:50:48+09:00,danawa,Bodyfriend,바디프랜드 팔콘,3,Shanghai Rongtai Health Technology Corporation Limited 바디 프랜드 공식인증리퍼 팔콘 SV 천연가죽 안마의자 무상AS 1년,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223894&cate_c4=0&cmpny_c=TJ418&link_prod_c=0056353525&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808042692212&cate=17225872,2350000,,
2026-06-07T12:50:48+09:00,danawa,Bodyfriend,바디프랜드 팔콘,4,Fujian Welike Electronics Co. Ltd 바디 프랜드 공식인증리퍼 팔콘 i 웜그레이지 헬스케어로봇 안마의자 무상AS 1년 리모컨미포함,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223894&cate_c4=0&cmpny_c=TJ418&link_prod_c=0057984756&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808042697957&cate=17225872,1820000,,
2026-06-07T12:50:48+09:00,danawa,Bodyfriend,바디프랜드 팔콘,5,Shanghai Rongtai Health TShanghai Rongtai Health Technology Corporation Limited 바디 프랜드 선착순 L.포 뉴 팔콘 S 천연가죽 헬스케어로봇 안마의자 무상AS 5년,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=10840&cate_c2=223834&cate_c3=223894&cate_c4=224143&cmpny_c=TJ418&link_prod_c=0064191770&keyword=%EB%B0%94%EB%94%94%ED%94%84%EB%9E%9C%EB%93%9C+%ED%8C%94%EC%BD%98&r=17808042699602&cate=17326921,4000000,,
